,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
425,424.0,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",FRENTE DE TODOS,8.52,2.08,72.44,0.57,15.25,1.14,90,22,765,6,161,12,55.02,1954,1075,0.65,0.28,0.84,7,3,9,SALTA
480,479.0,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",FRENTE DE TODOS,1.63,0.44,67.78,0.51,29.31,0.33,89,24,3704,28,1602,18,78.7,7051,5549,0.99,0.14,0.38,55,8,21,SANTIAGO DEL ESTERO
481,480.0,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",FRENTE DE TODOS,1.04,0.28,85.21,1.18,12.03,0.27,106,28,8658,120,1222,27,76.2,13489,10278,0.82,0.13,0.19,84,13,20,SANTIAGO DEL ESTERO
482,481.0,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",FRENTE DE TODOS,0.89,0.43,87.29,1.78,9.43,0.17,68,33,6634,135,717,13,80.32,9577,7692,0.6,0.17,0.43,46,13,33,SANTIAGO DEL ESTERO
483,482.0,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",FRENTE DE TODOS,1.46,0.45,84.77,0.85,12.11,0.36,208,64,12115,122,1730,52,80.92,17839,14435,0.7,0.1,0.2,101,14,29,SANTIAGO DEL ESTERO
484,483.0,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",FRENTE DE TODOS,4.08,1.15,73.52,1.63,18.65,0.97,3933,1114,70937,1572,17999,937,80.26,122227,98101,0.96,0.1,0.58,942,102,565,SANTIAGO DEL ESTERO
485,484.0,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",FRENTE DE TODOS,2.84,0.5,55.27,2.0,38.75,0.64,172,30,3346,121,2346,39,78.27,7851,6145,0.96,0.11,0.41,59,7,25,SANTIAGO DEL ESTERO
486,485.0,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",FRENTE DE TODOS,5.31,1.45,64.6,1.92,25.29,1.42,10049,2754,122271,3643,47875,2692,81.76,236406,193274,1.22,0.12,0.72,2349,240,1401,SANTIAGO DEL ESTERO
487,486.0,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",FRENTE DE TODOS,2.72,0.96,79.47,1.02,15.04,0.79,630,222,18404,237,3482,183,78.94,29869,23580,1.11,0.13,0.56,261,30,131,SANTIAGO DEL ESTERO
488,487.0,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",FRENTE DE TODOS,1.27,0.62,84.4,1.27,12.11,0.33,220,107,14637,221,2101,57,75.67,23165,17529,0.7,0.1,0.26,123,18,45,SANTIAGO DEL ESTERO
